Location;Operator
Off Oakland, California;Military - U.S. Navy
Lagoa Santa, Brazil;Navegacao Aerea Brasileira
Casablanca, Morocco;Military - United States Army Air Force
Marion, Virginia;American Airlines
Coral Sea, off Australia;Military - U.S. Air Force
Kunming, China;China National Aviation Corporation
Morgantown, West Virginia;Pennsylvania Central Airlines
Near Perth, Australia;Military - U.S. Navy
;
Sweetwater, Texas;Military - U.S. Army Air Forces
Munchen, Germany;Deutsche Lufthansa
North Barrule, Isle of Man, England;Military - U.S. Air Force
Washington D.C.;Page Airways
Manus Island, New Guinea;Military - U.S. Army Air Forces
Hindhead, England;Military - U.S. Army Air Forces
Roye, France;Military -Royal Air Force
Netherlands, New Guinea;Military - U.S. Army Air Forces
Off Drewin, Ivory Coast;Military - U.S. Army Air Forces
China;China National Aviation Corporation
Gealdton, Australia;MaRobertson Miller Airlines
Swanage, England;Military -Royal Air Force
Bangalore, India;Military - Royal Indian Air Force
North AtlantiOcean;Military -Royal Air Force
Near Kisumu, Kenya;Military - South African Air Force
Near Florence, South Carolina;Eastern Air Lines / Military - U.S. Army Air Corps
New York, New York;Military - U.S. Army Air Forces
Near San Luis Potosi, Mexico;Lineas Aereas Mineras
Fort de France, Martinique;Pan American World Airways
Ixtaccihuati, Mexico;Mexicana
Florence, South Carolina;Eastern Air Lines
Near Milne Bay, New Guinea;Military - Royal Australian Air Force
Near Kansas, Missouri;Military - U.S. Army Air Forces
Puncak Jaya, Papua New Guinea;Military - Royal Australian Air Force
Near Chihkiang, China;Military - United States Army Air Force
Lakeland, Florida;National Airlines
Elvetham, England;Military -Royal Air Force
Rennes, France;Military - Royal Air Force
Melsbroek, Belgium;Military -Royal Air Force
Near Peking, China;Military - U.S. Army Air Forces
Timor Sea, AtlantiOcean;Military - Royal Australian Air Force
Between Shanghi and Canton, China;China National Aviation Corporation
Near Chiringa, India;Military - Royal Air Force
Tarapoto, Peru;Faucett
Chihchiang, China;Military - U.S. Army Air Forces
Herrenalb, Germany;Military - U.S. Army Air Forces
Near Chuka, India;Military - U.S. Army Air Forces
Off Corpus Christi, Texas;Military - U.S. Navy / Military - U.S. Navy
Near Boccadi, Italy;Military - U.S. Army Air Forces
Near Picinisco, Italy;Military - U.S. Army Air Forces
Near Castel, Libya;Military -Royal Air Force
Himalayas;Military - U.S. Army
New Britain Island, New Guinea;Military - Royal Australian Air Force
White's Farm, England;Military -Royal Air Force
Near Rochefort , France;Military -Royal Air Force
Off the Florida coast;Military - U.S. Navy
Near Billings, Montana;Military - U.S. Army
Voksenkollen, Norway;Military - Royal Air Force
Bangui, French Equatorial Africa;Air France
New York City, New York;Eastern Air Lines
Birmingham, Alabama;Pennsylvania Central Airlines
Changchun, China;Military - Chinese Air Force
Marseilles, France;Military -Royal Air Force
Cheshire, Connecticut;Eastern Air Lines
Crowsnest Pass, Alberta, Canada;Mililtary - Royal Canadian Air Force
Near Le Mans, France;Military - Royal Air Force
Mt. Elk, Wyoming;United Air Lines
Negros, Philippines;Military - U.S. Army Air Forces
Charlottetown, PE, Canada;British Overseas Airways
Live Oak Springs, California;American Airlines
Near Prague, Czechoslovakia;Ceskoslovenske Aerolinie
Off Hobart, Tasmania;Australian National Airways
Near Nanking, China;Military - Chinese Air Force
Between Chungking and Shanghai, China;China National Aviation Corporation
Hobart Mills, California;Military - U.S. Army Air Forces
Ceylon, Cocos Islands, Indian Ocean;British Overseas Airways /Qantas
Rabat, Malta;Military - Royal British Navy
Near Shensi, China;
Liberiad, Nicaragua;TACA
Pindi-Khut ,India;Military - Royal Air Force
Munson, Florida;Military U.S. Navy / Military - U.S. Navy
Richmond, Virginia;Viking Air Transport
Oslo, Norway;DNL
Off Amalfi, Italy;Military - U.S. Army Air Forces
Near Abeokuta, Nigeria;Military -Royal Air Force
Taboga Island, Panama;Military - U.S. Army Air Forces
Off Malaya;Military - Royal Air Force
Pau, France;Air France
Holyoke, Massachusetts;Military - U.S. Army Air Forces
Reading, Pennsylvania;Trans Continental and Western Air
Tsinan, China;Central Air Transport
Cuenca, Ecuador;ANDESA
Goodland, Kansas;Military - U.S. Army Air Corps
Off the Panama coast;Military -  (2) U.S. Army Air Forces
Bassein, Burma;Military -Royal Air Force
Oslo, Norway;British European Airways
Lakehurst, New Jersey;AtlantiCentral Airlines
Malta-Luqa, Malta;BOAC
Rouen, France;British Overseas Airways
Moline, Illinois;Trans Luxury Airlines
Cairo, Egypt;Misrair
Holtug, Denmark;Air France
Le Bourget, France;Air France
Elko, Nevada;Trans-Luxury Airlines
Bathurst, Gambia;British South American Airways
Nome, Alaska;Mt. McKinley Airfreight
Estevan, Saskatchewan, Canada;Military - Royal Canadian Air Force
Brussels, Belgium;Sabena
Puesto Araujo, Colombia;AVIANCA
Near Gander, Newfoundland;Sabena
Near Tripoli, Libya;Military -Royal Air Force
Lochi Mountain, China;China National Aviation Corporation
Near Hong Kong International Airport;Military - Royal Air Force
Rio Doce, Brazil;Panair do Brasil
Stephenville, Newfoundland;American Overseas Airlines
Off Penang, Malaya;Military -Royal Air Force
Apeldoorn, The Netherlands;Military - Royal Netherlands Naval Air Service
Cheyenne, Wyoming;United Air Lines
Near Sefrou, Morocco;Air Ocean
Laramie, Wyoming;National Air Transport Services
Near Chitral, India;Military - Royal Air Force
Gebel Kalamoun, Egypt;Socotra
St Leger-la-Montagne, France;CTA LanguedoRoussillon
Cleveland, Ohio;United Air Lines
Lebec, California;Western Airlines
Near Cofre de Perote, Mexico;Empressa Commun. Aéreas de Veracruz
Amsterdam, Netherlands;KLM Royal Dutch Airlines
North PacifiOcean;Military - U.S. Army Air Forces
San Jose, Costa Rica;Lineas Aéreas Costarricenses  LACSA
El Palomar, Argentina;Fuerza Aérea Argentina
Meshed, Iran;Aeroflot
Toledo, Washington;Military - U.S. Marine Corps
Near Osaka, Japan;Military - U.S. Army Air Forces
Mt. Banahaur, Philippines;Far Eastern Air Transport
Caribbean, AtlantiOcean;Winged Cargo Inc.
Near Rio de Janeiro, Brazil;FAMA (Argentina)
Near San Diego, California;Western Airlines
Lunghwa, Shanghai, China;China National Aviation Corporation
Michigan City, Indiana;American Airlines
Walshville, Illinois;Kansas City Southern Skyways
Near Shannon, Ireland;Trans Continental and Western Air
Sao Paulo, Brazil;Panair do Brasil
Carmel, New Jersey;Nationwide Air Transport
Tsingtao, China;China National Aviation Corporation
Off Laoag, China;Far Eastern Air Transport
Near Lympne, England;British Overseas Airways
Near Galax, Virginia;Eastern Air Lines
Near Puebla, Mexico;Military - Mexican Air Force
Chongqing, China;China National Aviation Corporation
Croydon, Surrey, England;Spencer Airways / Ceskoslovenske Aerolinie
Hong Kong;Philippine Air Lines
Copenhagen, Denmark;KLM Royal Dutch Airlines
Near Hankow, China;China National Aviation Corporation
Near Lisbon, Portugal;Air France
Harrington, Delaware;International Air Freight
Pedro Bernardo, Spain;Aerovias Cuba International
Denver, Colorado;Slick Airways
Off Terracina, Italy;Military - Corrieri Aerei Militari
Near Bogota, Colombia;AVIANCA
Chungking, China;Military - Chinese Air Force
China Sea, PacifiOcean;Military - Royal Air Force
Cordillera, Colombia;VIARCO
L'isola di Ischia, Italy;Military - Royal Air Force
Mt. Moucherolles, France;Air France
Near Medellin, Colombia;TACA
Negombo, Sri Lanka;Military - Royal Air Force
Near Caracas, Venezuela;Linea Aeropostal Venezolana
Off Dakar, Senegal;British South American Airways
Columbus, Georgia;Delta Air Lines
Near Cuzco, Peru;TAM (Peru)
Near Vancouver, British Columbia, Canada;Trans Canada Air Lines
Delaware Bay, New Jersey;Trans Continental and Western Air
Hjedinsfjordur, Iceland;Flugefelag
Atsugi, Japan;Military - U.S. Army Air Forces
La Guardia Airport, Queens, New York;United Air Lines
Port Deposit, Maryland;Eastern Air Lines
Near Gemenos, France;Air France
Natal, Argentina;Flota Aérea Mercante Argentina
Leesburg, Virginia;Pennsylvania Central Airlines
Al Mayadin, Syria;Pan American World Airways
Near Eaeka, French Cameroons;Air France
Melbourne, Florida;Burke Air Transport
Vichy ,France;Aero Cargo
Az-Zubair, Iran;British Overseas Airways
Moron, Argentina;Flota Aérea Mercante Argentina
Near Yumen, China;Military - Chinese Air Force
Andes, Argentina;British South American Airways
North PacifiOcean;Military - U.S. Navy
New York, New York;American Airlines
Malmo, Sweden;AB Aerotransport
Bucharest, Romania;Transporturile Aeriene Romano-Sovietice
Hanksville, Utah;Slick Airways
Bahrain, Persian Gulf;British Overseas Airways
Harsiad, Norway;Norwegian Airlines
Near El Paso, Texas;American Airlines
Sylva, North Carolina;Stratofreight
Off Cartegena, Spain;Societe Aerienne du Littoral
Bryce Canyon, Utah;United Air Lines
Annette Island, Alaska;Pan American World Airways
Near Mt. Hymettus, Greece;AB Aerotransport
Srinagar, India;Military - Royal Indian Air Force
Off Barrio Rizal, Philippines;Philippine Air Express
Gallup, New Mexico;American Airlines
Near Bouchox, France;Société Auxiliare de Navigation Aérienne
Ravello, Italy;Trafik-Turist-Transportflyg
Newcastle, Delaware;Trans Continental and Western Air
Phouznicie, Romania;TARS
Yakutat, Alaska;Columbia Air Cargo
Montenegrin Mountains, Yugoslavia;JAT Yugoslav Airlines
;China National Aviation Corporation
Near Trappa, Italy;Military - U.S. Air Force
Seattle, Washington;Alaska Airlines
Near Goose Bay, Labrador;Military - U.S. Air Force
Near Memphis, Tennessee;Military - U.S. Air Force
Kunming, China;Air Transport
Korangi Creek, India;Air India
Leon, Mexico;Servicio Aéreo Panini
Paris, France;Air France
Ruislip, England;British European Airways
Near Savannah, Georgia;Coastal Air Lines
Near Palestro, Algeria;Transport Comp. Algerienne de T.A.
Ciudad Havajillo, Dominican Republic;Dominicana
Oxon Hill, Maryland;Eastern Air Lines
Near Mukden, China;China National Aviation Corporation
Salalah, Oman;Military - Royal Air Force
Diablo Mts., California;Airline Transport Carriers
AtlantiOcean, NE of Bermuda;British South American Airways
Off Jacksonville, Florida;Eastern Air Lines
Ubrichstein, Germany;Det Danske Luftfartselskab
Collesalvetti,  Italy;Società Aerea Teseo
Off St. Marcouf, France;Latecoere Airlines
Davao, Philippines;Commercial Airways
Columbus, Ohio;Bruning Aviation
Near Belem, Brazil;Military - Brazilian Air Force
Off Perpignan, France;Société de Transports Aériens
Heathrow Airport, London, England;Sabena
Near Skalafell, Iceland;Loftleidir IcelandiAirlines
Chicago, Illinois;Delta Air Lines
Mt. Sanford, Alaska;Northwest Orient Airlines
Sierra Cristais, Brazil;Cruzeiro
Villa Pinzon, Colombia;Agencia Interamericana de Aviada
Monte Cardo, Corsica, France;Indian National Airlines
Near Berlin, Germany;British European Airways / Military - Soviet Air Force
Shannon, Ireland;Pan American World Airways
Near Bogota, Colombia;SAETA
Near Magazini, Belgian Congo (Zaire);Sabena
Mount Coron, France;Skyways of London
Vrede, South Africa;Mercury Aviation
Columbus, Ohio;Slick Airways
Near Bovingdon, England;Air Transport Charter
Albacete, Spain;Alpha Airways
Ile of Man;Hargreaves Airways
Mount Carmel, Pennsylvania;United Air Lines
Maiquetia, Venezuela;Linea Aeropostal Venezolana
Keerbergen, Belgium;Avio Linee Italiane
Northolt, Middlesex, England;Scandinavian Airlines (SAS)
Djiring, French Indo-China;Aigle Azur
Belem, Brazil;Aerovias Brasil
PacifiOcean between Hong Kong and Macao;Cathay PacifiAirways
Cap-des-Rosiers, Quebec, Canada;Rimouski Airlines
Buenos Aires, Argentina;ALFA
Tsingtao, China;Civil Air Transport
1,200 miles off Dakar, AtlantiOcean;Air France
Karachi, Pakistan;Onzeair
Port Underwood, New Zealand;New Zealand National Airways
La Guaira, Venezuela;Avensa
Near Pasto, Colombia;LANSA
Near Winona, Minnesota;Northwest Orient Airlines
Near Elizabethville, Belgium Congo;Sabena
Near Quirindi, Australia;Australian National Airways
Near Trondheim, Norway;Norwegian Airlines
Prestwick Airport, Scotland;KLM Royal Dutch Airlines
Mt. Ruapehu, New Zealand;New Zealand National Airways
Near Edmonton, Alberta, Canada;Northwest Orient Airlines
Near Glossop, England;Military - U.S. Air Force
Cape Spencer, Alaska;PacifiAlaska Air Freight
Mt. Macedon, Australia;Australian National Airways
Liverpool, England;Mannin Airways
Vehari, Pakistan;Pakistan Airways
Kiangwan, China;Central Air Transport
Milan, Italy;
Taipei, Taiwan;China National Aviation Corporation
Near Bogata, Colombia;LANSA
Near Pilos, Greece;Ceskoslovenske Aerolinie
Basalt Island, Hong Kong;China National Aviation Corporation
Near Madrid, Spain;Iberia Airlines
Off San Juan, Puerto Rico;Airborne Transport
Mt. Argentari, Italy;Pan African Air Charter
Seattle, Washington;Seattle Air Charter
Caravelas Bay, Brazil;British South American Airways
Brandywine, Maryland;Coastal Cargo
Near Pelotas, Brazil;Viacao Aerea Gaucha S.A.
Ras-el-Tin, Egypt;Pan African Air Charter
Balihal Pass, India;Dalmia Jain Airways
AtlantiOcean, off Bermuda;British South American Airways
Near Succoth Glen, Lochgoilhead, Scotland;Military - U.S. Air Force
Homer, Alaska;Alaska Airlines
Port Washington, New York;Pan American World Airways
Trinity Bay, Newfoundland;Saint Lawrence Airways
Castel Benito, Libya;Skyways of London
Buenaventura Bay, Colombia;AVIANCA
Off Copenhagen, Denmark;Scandinavian Airlines (SAS)
Near Huanuco, Peru;Faucett
Near Coventry, Warks, England;British European Airways / Military - British
Braemar Resevoir, Hong Kong;Cathay PacifiAirways
Near Lodz, Poland;LOT Polish Airlines
Coolangatta, Australia;Queensland Airlines
Berlin, Germany;Skyways
Near Waikanae, New Zealand;New Zealand National Airways
Superga, Italy;Avio Linee Italiane
Sibuyan Sea, off the Philippine island of Elalat;Philippine Air Lines
Malahasa Attica, Greece;Tech - Aeronautical Explotiation
Near Florianpolis, Brazil;Military - Brazilian Air Force
San Juan, Puerto Rico;Strato Freight
Off Bari, Italy;KLM Royal Dutch Airlines
Near Guildford, Australia;MaRoberston-Miller Airlines
Near Bombay, India;KLM Royal Dutch Airlines
Chatsworth, California;Standard Airlines
Seattle, Washington;Air Transport Associates
Chesterfield, New Jersey;Eastern Air Lines / Military - USN
Jaquirana, Brazil;Varig
Sao Francisco Bay, Brazil;Lineas Aéreas Brasil
Salasaca, Ecuador;Shell Co of Ecuador
Off Lurga Point, Ireland;Transocean Air Lines
Oldham, England;British European Airways
Near Bigstone Lake, Manitoba;Military - Royal Canadian Air Force
Leopoldville, Zaire;Sabena
Sault-aux-Cochons, PQ, Canada;Canadian PacifiAir Lines
Mt. Popocatepetl, Mexico;Mexicana
Near Castilla, Argentina;Flota Aérea Mercante Argentina
Cheyenne, Wyoming;Slick Airways
San Miguel Island, Azores;Air France
Arlington, Virginia;Eastern Air Lines / Military - Bolivian Air Force
Akron, Ohio;Harrington's Inc
Near Oslo, Norway;Aero Holland
Chaleyssin, France;Air France
Dallas, Texas;American Airlines
Taquaracucu, Brazil;REAL
Vallejo, California;Arrow Airlines
Near Lanchow, China;Civil Air Transport
Near Hoikow, China;Civil Air Transport
Jungshahi, Pakistan;Pakair
Washington, D.C.;Capital Airlines
Orizaba, Mexico;Mexicana
Aulnay-sous-Bois, France;Sabena
Comilla, Pakistan;Bharat Airways
Albacete, Spain;Ejercito del Aire
Near Vacas, Bolivia;Military - Bolivian Air Force
Near Tamatave, Madagascar;Societe Transatlantique Aerienne
Iloilo,Philippines;Philippine Air Lines
Near Snag, Yukon Territory;Military - U.S. Air Force
North Sea;KLM Royal Dutch Airlines
Near Prague, Czechoslovakia;Ceskoslovenske Aerolinie
Minneapolis, Minnesota;Northwest Orient Airlines
Saigon, Vietnam;Societe Indochinoise de Transport Aeriens
Llandow Airport, Cardiff, Wales;Fairflight Ltd.
Ankara, Turkey;Devlet Hava Yollairi
Off Cap-Ferret, France;SEMAF
Hatiara, India;Deccan Airways
Santa Ana, Colombia;Lineas Aéreas Nacionales
Near Atsugi, Japan;Military - U.S. Air Force
